2025-06-12 10:20:09 | HEADER: ToRead | NOTE_SNIPPET: ToRead Ted Chiang... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 10:20:09 | HEADER: ToRead | NOTE_SNIPPET: ToRead Cointelligence From 0 t... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 10:47:25 | HEADER: ToRead | NOTE_SNIPPET: ToRead Ted Chiang ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 10:47:25 | HEADER: ToRead | NOTE_SNIPPET: ToRead Cointelligence From 0 t... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 10:56:43 | HEADER: ToRead | NOTE_SNIPPET: ToRead Ted Chiang ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 10:56:43 | HEADER: ToRead | NOTE_SNIPPET: ToRead Cointelligence From 0 t... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 11:01:12 | HEADER: ToRead | NOTE_SNIPPET: Ted Chiang ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 11:01:12 | HEADER: ToRead | NOTE_SNIPPET: Cointelligence From 0 to 1 by ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 11:02:49 | HEADER: JugglingPattern | NOTE_SNIPPET: Inside outside 2in1 multiplex ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Juggling/Patterns.md
2025-06-12 11:45:08 | HEADER: JugglingMusic | NOTE_SNIPPET: the actual juggling needs to b... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/JugglingMusic.md
2025-06-12 11:50:43 | HEADER: MovieThoughts | NOTE_SNIPPET: The idea is to put something i... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Movies/MovieThoughts.md
2025-06-12 11:50:43 | HEADER: MovieThoughts | NOTE_SNIPPET: Use other movies and deepfake ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Movies/MovieThoughts.md
2025-06-12 11:50:43 | HEADER: MovieObservations | NOTE_SNIPPET: The movie with time on their a... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Movies/MovieThoughts.md
2025-06-12 11:50:43 | HEADER: Story | NOTE_SNIPPET: Online worlds where agents liv... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Story Ideas.md
2025-06-12 11:50:43 | HEADER: Story | NOTE_SNIPPET: Book that says to start in dif... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Story Ideas.md
2025-06-12 11:52:15 | HEADER: PotentialHabit | NOTE_SNIPPET: Spoken Conversations with AI a... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Potential Habits.md
2025-06-12 11:52:25 | HEADER: JugglingPattern | NOTE_SNIPPET: -both sides simultaneously doi... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Juggling/Patterns.md
2025-06-12 11:53:11 | HEADER: Asia25 | NOTE_SNIPPET: buy in japan -nice mouse for h... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Asia25.md
2025-06-12 12:12:55 | HEADER: AppIdea | NOTE_SNIPPET: -Phone and desktop wallpaper t... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Z Dev/Apps.md
2025-06-12 12:14:47 | HEADER: RentGpu | NOTE_SNIPPET: -keep track of things that cou... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/RentedGPUideas.md
2025-06-12 12:23:16 | HEADER: AiTutor | NOTE_SNIPPET: Look into ways to tag all info... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/AiTutor.md
2025-06-12 12:23:16 | HEADER: Self | NOTE_SNIPPET: make backups of my notes onlin... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/SelfAdvice.md
2025-06-12 12:25:40 | HEADER: AppIdea | NOTE_SNIPPET: -life recap movie. You give it... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Z Dev/Apps.md
2025-06-12 12:26:31 | HEADER: JugglingPattern | NOTE_SNIPPET: Backcross + crossing shoulder ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Juggling/Patterns.md
2025-06-12 12:28:10 | HEADER: Habits | NOTE_SNIPPET: Turn juggling records broke ha... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Habits Thoughts AND Anki Thought.md
2025-06-12 12:28:10 | HEADER: Habits | NOTE_SNIPPET: It may be nice to show somethi... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Habits Thoughts AND Anki Thought.md
2025-06-12 12:28:32 | HEADER: JugglingPattern | NOTE_SNIPPET: Juggling to time 2b constant b... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Juggling/Patterns.md
2025-06-12 12:28:57 | HEADER: PotentialHabit | NOTE_SNIPPET: New juggling habit - new thing... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Potential Habits.md
2025-06-12 12:30:22 | HEADER: ToResearch | NOTE_SNIPPET: nooretropic / testosterone ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToResearch.md
2025-06-12 12:30:42 | HEADER: JugglingPattern | NOTE_SNIPPET: Juggling to add 42333 - 400 Pa... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/Juggling/Patterns.md
2025-06-12 12:30:50 | HEADER: ToResearch | NOTE_SNIPPET: Places and reasons to get stem... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToResearch.md
2025-06-12 12:30:58 | HEADER: ToResearch | NOTE_SNIPPET: Make podcasts of Animal Signal... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToResearch.md
2025-06-12 12:31:09 | HEADER: JugglingMusic | NOTE_SNIPPET: Triangles are my favorite shap... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/JugglingMusic.md
2025-06-12 12:31:27 | HEADER: JugglingMusic | NOTE_SNIPPET: Get sequences set up and make ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/JugglingMusic.md
2025-06-12 12:31:51 | HEADER: ToRead | NOTE_SNIPPET: Why greatness cannot be planne... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/ToRemember/ToRead.md
2025-06-12 12:33:45 | HEADER: JugglingMusic | NOTE_SNIPPET: Bushes of love ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/JugglingMusic.md
2025-06-12 14:37:22 | HEADER: AiArt | NOTE_SNIPPET: i have a wallpaper picture whe... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/AI/AI Art/Prompts/Not Yet Used.md
2025-06-12 14:38:59 | HEADER: MovieResources | NOTE_SNIPPET: Film freeway - website Find a ... | MOVED_FROM: Inbox.md | MOVED_TO: /home/twain/noteVault/story/Movies/MovieResources.md
